Age,MSE
6940,0.0
6950,11.780196637460595
6960,11.742340288667972
6970,12.33238961139662
6980,13.711464390267912
6990,11.492817981210546
7000,12.42604544655763
7010,11.843453601174307
7020,11.81435242329102
7030,12.183284701330063
7040,12.562582301092739
7050,12.128904792066185
7060,13.24056862323389
7070,11.726491549279356
7080,12.240634329948268
7090,13.337097358860332
7100,12.622562839246914
7110,12.97307413446685
7120,12.509264930192472
7130,12.995622101358098
7140,12.474241745252225
7150,12.730131375158948
7160,12.071886849826125
7170,12.01542063489157
7180,13.147222518006975
7190,13.46649722026259
7200,13.02833451739903
7210,12.985353822943969
7220,13.655533438705024
7230,12.86757824297591
7240,12.37353697708684
7250,12.747298962540754
7260,12.990808975026543
7270,13.270451655514304
7280,13.326865300909112
7290,13.224138573433544
7300,12.170110398338661
7310,12.226098203519491
7320,14.392342325131526
7330,12.97049073960649
7340,12.795932200053278
7350,13.155393003327603
7360,15.63442061564563
7370,13.70776336517959
7380,13.375865851748905
7390,12.98521279389898
7400,13.629083015735343
7410,12.250119118681331
7420,13.404161226780314
7430,13.77193410439389
7440,13.751794933563382
7450,12.981989246085158
7460,12.876529070307594
7470,12.59810757983192
7480,12.139843537870044
7490,12.846617845527392
7500,12.307663935939523
7510,12.502260471898243
7520,13.038663880886133
7530,13.643882845496234
7540,12.532383067686517
7550,14.540144696667976
7560,15.591633713216737
7570,12.545267129066568
7580,14.03906088213862
7590,14.794335341095742
7600,12.857232557136744
7610,12.848675961452056
7620,12.48334858422403
7630,13.912483341314315
7640,12.1087682914217
7650,12.134374328172356
7660,13.117296364995068
7670,13.145970742016482
7680,15.17647060478901
7690,12.741482631436746
7700,15.222745230620296
7710,13.345422218826386
7720,13.4047591396149
7730,14.888391978325512
7740,14.02620292560495
7750,13.042657289296832
7760,13.731076320703641
7770,13.009775659074052
7780,12.837490274801333
7790,12.397941464331875
7800,12.63527449246659
7810,13.10377525705166
7820,12.947666426762435
7830,12.924624380966563
7840,12.751172619710568
7850,12.247227932189586
7860,13.115027610564374
7870,12.705849164074422
7880,12.904968014066611
7890,12.917672051054629
7900,13.358839711737021
7910,12.104277123010723
7920,12.605944553093513
7930,13.268973877753204
7940,12.478477106363759
7950,13.149699136158747
7960,13.627815351241466
7970,12.795698967437362
7980,12.409328912998307
7990,13.193132101579538
8000,14.723769770790417
8010,12.986956183755652
8020,13.313730773904181
8030,12.851753902595588
8040,12.775660784649812
8050,12.9739613422228
8060,13.662579264207844
8070,12.438815453889008
8080,12.201593872208168
8090,12.727060459948651
8100,13.161542596109259
8110,13.041048740065541
8120,13.54083153452175
8130,12.889168889471827
8140,12.817308478675125
8150,12.461509661286513
8160,13.085182106072505
8170,13.17218611786686
8180,13.049094122859522
8190,12.84821922982832
8200,12.872647180623423
8210,12.608206136353024
8220,12.701239853161649
8230,12.58006981582705
8240,12.642730091167998
8250,13.37683478780671
8260,12.814380617879594
8270,13.321272446482194
8280,13.303764363406513
8290,13.013432774590354
8300,13.473582129376908
8310,14.748319200879445
8320,12.498935618518214
8330,13.060712282963335
8340,13.4058267786154
8350,12.485995775033988
8360,13.033626294120985
8370,12.66465870565667
8380,12.216545230824577
8390,13.06917063374983
8400,12.967518518383397
8410,13.144257667033663
8420,13.094833393565418
8430,13.038767518154991
8440,13.055416159873896
8450,14.334459529210925
8460,12.7105629350637
8470,13.483984632710582
8480,12.483378433868094
8490,12.973952271926848
8500,13.149912913038532
8510,13.866430099635766
8520,13.760644827309056
8530,13.577710177280732
8540,14.126773635220566
8550,13.10124387125798
8560,13.43877251142461
8570,12.764777100829582
8580,12.8850400243295
8590,12.964944478621758
8600,12.913314536653488
8610,12.943899199268529
8620,14.815542085972478
8630,13.429221227329123
8640,13.439669302465946
8650,12.641867488053247
8660,14.15755782137331
8670,12.816495817083352
8680,13.115140267550075
8690,13.754376543557807
8700,12.785787782894888
8710,12.889834095938761
8720,14.198524124286333
8730,14.514844185658989
8740,13.137956136753662
8750,13.059062050541877
8760,13.814703930287074
8770,14.022697208813584
8780,12.966250213246532
8790,13.522166106352415
